"sku","special_from_date"
"127436","19/04/26"
"127414","19/04/26"
"127402","19/04/26"
"127392","19/04/26"
"180692","19/04/26"
"225699","19/04/26"
"215964","19/04/26"
"540033","19/04/26"
"215424","19/04/26"
"137435","19/04/26"
"137429","19/04/26"
"137424","19/04/26"
"215208","19/04/26"
"215936","19/04/26"
"215775","19/04/26"
"215722","19/04/26"
"215238","19/04/26"
"133444","19/04/26"
"243015","19/04/26"
"216553","19/04/26"
"159377","19/04/26"
"158382","19/04/26"
"158411","19/04/26"
"133422","19/04/26"
"290657","19/04/26"
"133287","19/04/26"
"159262","19/04/26"
"159259","19/04/26"
"290027","19/04/26"
"289935","19/04/26"
"289941","19/04/26"
"289653","19/04/26"
"289326","19/04/26"
"158695","19/04/26"
"119806","19/04/26"
"119808","19/04/26"
"119917","19/04/26"
"119944","19/04/26"
"120025","19/04/26"
"120477","19/04/26"
"120483","19/04/26"
"120580","19/04/26"
"120665","19/04/26"
"120827","19/04/26"
"121396","19/04/26"
"121181","19/04/26"
"119729","19/04/26"
"120054","19/04/26"
"120581","19/04/26"
"120833","19/04/26"
"120835","19/04/26"
"122052","19/04/26"
"122479","19/04/26"
"123207","19/04/26"
"467899","19/04/26"
"123471","19/04/26"
"136409","19/04/26"
"158675","19/04/26"
"158669","19/04/26"
"158683","19/04/26"
"158679","19/04/26"
"158677","19/04/26"
"289322","19/04/26"
"289324","19/04/26"
"158387","19/04/26"
"158184","19/04/26"
"188698","19/04/26"
"189219","19/04/26"
"158414","19/04/26"
"128008","19/04/26"
"128197","19/04/26"
"127985","19/04/26"
"289220","19/04/26"
"289236","19/04/26"
"243098","19/04/26"
"424346","19/04/26"
"127663","19/04/26"
"159333","19/04/26"
"576498","19/04/26"
"576511","19/04/26"
"445644","19/04/26"
"203368","19/04/26"
"127676","19/04/26"
"158068","19/04/26"
"158176","19/04/26"
"158178","19/04/26"
"236841","19/04/26"
"288591","19/04/26"
"477069","19/04/26"
"229465","19/04/26"
"202706","19/04/26"
"202785","19/04/26"
"202799","19/04/26"
"202987","19/04/26"
"568957","19/04/26"
"203143","19/04/26"
"203569","19/04/26"
"227331","19/04/26"
"110085","19/04/26"
"215899","19/04/26"
"137561","19/04/26"
"158129","19/04/26"
"289318","19/04/26"
"289600","19/04/26"
"289607","19/04/26"
"289613","19/04/26"
"288281","19/04/26"
"313197","19/04/26"
"263640","19/04/26"
"310507","19/04/26"
"449133","19/04/26"
"188913","19/04/26"
"191797","19/04/26"
"125590","19/04/26"
"125319","19/04/26"
"203372","19/04/26"
"542671","19/04/26"
"203116","19/04/26"
"203016","19/04/26"
"313676","19/04/26"
"304376","19/04/26"
"304796","19/04/26"
"304816","19/04/26"
"304935","19/04/26"
"305100","19/04/26"
"305106","19/04/26"
